PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"80, 3, 25","+1,087.00 USD",+0.11%,"1,369.00 USD",0.14%,70,32.86%,1.306,0,,0
"80, 3, 35",+646.50 USD,+0.06%,"2,776.50 USD",0.28%,85,30.59%,1.119,0,,0
"80, 3, 45","+3,029.50 USD",+0.30%,"3,004.50 USD",0.30%,106,33.02%,1.283,0,,0
"80, 3, 55","+3,884.00 USD",+0.39%,"3,187.00 USD",0.32%,128,28.13%,1.245,0,,0
"80, 3, 65","+5,155.00 USD",+0.51%,"3,046.50 USD",0.30%,137,29.20%,1.302,0,,0
"80, 3, 75",+233.50 USD,+0.02%,"3,622.50 USD",0.36%,147,27.21%,0.869,0,,0
"80, 3, 85",−366.50 USD,−0.04%,"4,276.50 USD",0.43%,163,27.61%,0.975,0,,0
"80, 3, 95","+2,630.00 USD",+0.26%,"3,785.50 USD",0.38%,172,30.23%,1.185,0,,0
"80, 3.5, 105","−8,334.00 USD",−0.83%,"9,401.00 USD",0.94%,143,20.28%,0.447,0,,0
"80, 3.5, 115","−4,209.00 USD",−0.42%,"5,155.50 USD",0.52%,149,23.49%,0.679,0,,0
"80, 3.5, 125",+266.50 USD,+0.03%,"4,363.50 USD",0.44%,114,21.93%,0.786,0,,0
"80, 3.5, 135","+1,964.00 USD",+0.20%,"4,409.00 USD",0.44%,116,23.28%,0.956,0,,0
"80, 3.5, 145","+2,143.00 USD",+0.21%,"5,245.00 USD",0.52%,120,25.00%,1.156,0,,0
"80, 3.5, 25","−1,006.00 USD",−0.10%,"3,195.00 USD",0.32%,49,26.53%,0.805,0,,0
"80, 3.5, 35","−1,657.00 USD",−0.17%,"4,546.00 USD",0.45%,68,22.06%,0.758,0,,0
"80, 3.5, 45","−3,230.00 USD",−0.32%,"5,105.50 USD",0.51%,84,20.24%,0.605,0,,0
"80, 3.5, 55","−3,900.00 USD",−0.39%,"4,514.50 USD",0.45%,95,18.95%,0.559,0,,0
"80, 3.5, 65","−7,540.00 USD",−0.75%,"7,790.00 USD",0.78%,111,17.12%,0.395,0,,0
"80, 3.5, 75","−7,201.00 USD",−0.72%,"7,530.50 USD",0.75%,116,18.97%,0.43,0,,0
"80, 3.5, 85","−9,509.50 USD",−0.95%,"9,906.50 USD",0.99%,129,18.60%,0.384,0,,0
"80, 3.5, 95","−9,157.50 USD",−0.92%,"9,779.50 USD",0.98%,136,19.12%,0.394,0,,0
"80, 4, 105","−1,585.50 USD",−0.16%,"4,284.00 USD",0.43%,118,25.42%,0.791,0,,0
"80, 4, 115",+266.00 USD,+0.03%,"3,766.00 USD",0.38%,124,25.00%,0.953,0,,0
"80, 4, 125","−1,006.50 USD",−0.10%,"3,843.50 USD",0.38%,92,25.00%,0.791,0,,0
"80, 4, 135","−2,570.50 USD",−0.26%,"4,340.00 USD",0.43%,99,25.25%,0.717,0,,0
"80, 4, 145","−3,608.00 USD",−0.36%,"4,917.00 USD",0.49%,102,25.49%,0.707,0,,0
"80, 4, 25","−3,116.50 USD",−0.31%,"4,763.50 USD",0.48%,42,21.43%,0.359,0,,0
"80, 4, 35","−4,392.50 USD",−0.44%,"6,157.50 USD",0.62%,63,19.05%,0.33,0,,0
"80, 4, 45","−3,946.00 USD",−0.39%,"5,765.00 USD",0.58%,69,21.74%,0.429,0,,0
"80, 4, 55","−3,999.00 USD",−0.40%,"5,712.50 USD",0.57%,83,24.10%,0.476,0,,0
"80, 4, 65","−3,754.50 USD",−0.38%,"5,404.50 USD",0.54%,89,23.60%,0.57,0,,0
"80, 4, 75","−3,461.00 USD",−0.35%,"4,533.00 USD",0.45%,97,23.71%,0.628,0,,0
"80, 4, 85","−2,470.50 USD",−0.25%,"4,105.50 USD",0.41%,101,25.74%,0.74,0,,0
"80, 4, 95","−2,715.00 USD",−0.27%,"3,878.50 USD",0.39%,112,25.00%,0.742,0,,0
"80, 4.5, 105",−656.00 USD,−0.07%,"3,985.00 USD",0.40%,100,27.00%,0.939,0,,0
"80, 4.5, 115","−1,503.00 USD",−0.15%,"4,288.00 USD",0.43%,102,26.47%,0.868,0,,0
"80, 4.5, 125",−654.00 USD,−0.07%,"2,197.00 USD",0.22%,75,25.33%,0.912,0,,0
"80, 4.5, 135",−659.00 USD,−0.07%,"2,190.50 USD",0.22%,75,25.33%,0.909,0,,0
"80, 4.5, 145","−1,683.00 USD",−0.17%,"2,627.00 USD",0.26%,78,23.08%,0.806,0,,0
"80, 4.5, 25",+843.50 USD,+0.08%,"2,365.00 USD",0.24%,37,29.73%,1.219,0,,0
"80, 4.5, 35","+2,364.00 USD",+0.24%,"2,463.00 USD",0.25%,50,32.00%,1.496,0,,0
"80, 4.5, 45","+3,431.00 USD",+0.34%,"3,208.50 USD",0.32%,63,30.16%,1.635,0,,0
"80, 4.5, 55","+2,923.50 USD",+0.29%,"3,455.50 USD",0.35%,70,30.00%,1.488,0,,0
"80, 4.5, 65",+770.00 USD,+0.08%,"3,531.00 USD",0.35%,77,24.68%,1.104,0,,0
"80, 4.5, 75","+1,243.50 USD",+0.12%,"3,888.50 USD",0.39%,86,26.74%,1.154,0,,0
"80, 4.5, 85",+519.00 USD,+0.05%,"4,254.00 USD",0.43%,95,28.42%,1.056,0,,0
"80, 4.5, 95",−207.50 USD,−0.02%,"4,433.00 USD",0.44%,97,27.84%,0.979,0,,0
"80, 5, 105","+1,721.00 USD",+0.17%,"2,816.00 USD",0.28%,83,21.69%,1.221,0,,0
"80, 5, 115","+2,780.50 USD",+0.28%,"3,159.00 USD",0.31%,86,22.09%,1.338,0,,0
"80, 5, 125","+4,216.50 USD",+0.42%,"3,325.00 USD",0.33%,64,23.44%,1.782,0,,0
"80, 5, 135","+3,968.50 USD",+0.40%,"2,969.50 USD",0.30%,67,23.88%,1.641,0,,0
"80, 5, 145","+4,918.00 USD",+0.49%,"2,709.00 USD",0.27%,69,24.64%,1.805,0,,0
"80, 5, 25","−1,195.00 USD",−0.12%,"6,017.00 USD",0.60%,26,30.77%,1.015,0,,0
"80, 5, 35","+2,153.00 USD",+0.22%,"2,050.50 USD",0.20%,33,30.30%,2.44,0,,0
"80, 5, 45","+2,943.00 USD",+0.29%,"2,434.50 USD",0.24%,49,28.57%,2.273,0,,0
"80, 5, 55","+2,306.00 USD",+0.23%,"2,399.50 USD",0.24%,56,30.36%,2.26,0,,0
"80, 5, 65","+2,376.50 USD",+0.24%,"2,879.00 USD",0.29%,64,28.13%,2.355,0,,0
"80, 5, 75","+2,326.50 USD",+0.23%,"2,879.00 USD",0.29%,66,24.24%,2.094,0,,0
"80, 5, 85","+2,775.00 USD",+0.28%,"2,497.00 USD",0.25%,72,22.22%,1.493,0,,0
"80, 5, 95","+1,784.00 USD",+0.18%,"2,784.00 USD",0.28%,77,22.08%,1.269,0,,0
"80, 5.5, 105","+3,773.00 USD",+0.38%,"3,685.50 USD",0.37%,65,23.08%,1.606,0,,0
"80, 5.5, 115","+4,552.50 USD",+0.46%,"2,907.50 USD",0.29%,67,25.37%,1.677,0,,0
"80, 5.5, 125","+3,603.50 USD",+0.36%,"3,003.00 USD",0.30%,53,28.30%,1.645,0,,0
"80, 5.5, 135","+3,416.00 USD",+0.34%,"3,077.50 USD",0.31%,53,28.30%,1.594,0,,0
"80, 5.5, 145","+5,675.00 USD",+0.57%,"3,077.50 USD",0.31%,54,27.78%,1.945,0,,0
"80, 5.5, 25","−1,892.50 USD",−0.19%,"1,924.50 USD",0.19%,24,8.33%,0.265,0,,0
"80, 5.5, 35","−3,449.00 USD",−0.34%,"3,820.00 USD",0.38%,36,8.33%,0.318,0,,0
"80, 5.5, 45","−3,591.50 USD",−0.36%,"3,962.50 USD",0.40%,37,8.11%,0.309,0,,0
"80, 5.5, 55","−1,721.50 USD",−0.17%,"2,588.50 USD",0.26%,42,14.29%,0.535,0,,0
"80, 5.5, 65","−1,742.50 USD",−0.17%,"2,585.00 USD",0.26%,47,17.02%,0.574,0,,0
"80, 5.5, 75","−2,085.50 USD",−0.21%,"3,040.00 USD",0.30%,52,17.31%,0.564,0,,0
"80, 5.5, 85",−859.00 USD,−0.09%,"3,488.50 USD",0.35%,59,20.34%,0.843,0,,0
"80, 5.5, 95",+802.00 USD,+0.08%,"3,514.50 USD",0.35%,62,19.35%,1.135,0,,0
"80, 6, 105","−2,479.50 USD",−0.25%,"3,642.50 USD",0.36%,60,20.00%,0.555,0,,0
"80, 6, 115","−2,642.00 USD",−0.26%,"3,606.50 USD",0.36%,64,20.31%,0.568,0,,0
"80, 6, 125","−3,306.50 USD",−0.33%,"3,960.00 USD",0.40%,46,17.39%,0.434,0,,0
"80, 6, 135","−4,008.00 USD",−0.40%,"4,338.00 USD",0.43%,48,16.67%,0.387,0,,0
"80, 6, 145","−4,013.00 USD",−0.40%,"4,469.00 USD",0.45%,48,16.67%,0.374,0,,0
"80, 6, 25",−604.50 USD,−0.06%,"1,565.00 USD",0.16%,15,26.67%,0.505,0,,0
"80, 6, 35",−638.50 USD,−0.06%,"2,522.50 USD",0.25%,20,20.00%,0.752,0,,0
"80, 6, 45","+1,941.00 USD",+0.19%,"1,372.00 USD",0.14%,28,25.00%,2.192,0,,0
"80, 6, 55",−374.00 USD,−0.04%,"1,853.00 USD",0.19%,37,18.92%,0.859,0,,0
"80, 6, 65",−591.50 USD,−0.06%,"2,039.00 USD",0.20%,41,19.51%,0.802,0,,0
"80, 6, 75",−923.00 USD,−0.09%,"2,234.00 USD",0.22%,45,20.00%,0.73,0,,0
"80, 6, 85",−956.00 USD,−0.10%,"2,643.00 USD",0.26%,52,21.15%,0.766,0,,0
"80, 6, 95","−1,806.00 USD",−0.18%,"3,419.50 USD",0.34%,57,19.30%,0.629,0,,0
"80, 6.5, 105","−3,614.00 USD",−0.36%,"3,991.50 USD",0.40%,57,10.53%,0.358,0,,0
"80, 6.5, 115","−4,214.50 USD",−0.42%,"4,664.50 USD",0.47%,62,12.90%,0.353,0,,0
"80, 6.5, 125","−3,330.50 USD",−0.33%,"3,707.00 USD",0.37%,45,8.89%,0.366,0,,0
"80, 6.5, 135","−3,642.00 USD",−0.36%,"3,945.50 USD",0.39%,45,8.89%,0.343,0,,0
"80, 6.5, 145","−3,731.50 USD",−0.37%,"4,170.00 USD",0.42%,46,8.70%,0.328,0,,0
"80, 6.5, 25","−1,896.00 USD",−0.19%,"2,291.50 USD",0.23%,18,22.22%,0.258,0,,0
"80, 6.5, 35","−3,526.00 USD",−0.35%,"3,926.50 USD",0.39%,25,16.00%,0.124,0,,0
"80, 6.5, 45","−1,493.00 USD",−0.15%,"2,559.50 USD",0.26%,32,18.75%,0.338,0,,0
"80, 6.5, 55","−2,192.50 USD",−0.22%,"2,732.00 USD",0.27%,37,16.22%,0.258,0,,0
"80, 6.5, 65","−2,548.00 USD",−0.25%,"2,859.50 USD",0.29%,42,14.29%,0.215,0,,0
"80, 6.5, 75","−1,994.00 USD",−0.20%,"2,475.00 USD",0.25%,47,14.89%,0.466,0,,0
"80, 6.5, 85","−1,444.50 USD",−0.14%,"2,885.00 USD",0.29%,49,14.29%,0.648,0,,0
"80, 6.5, 95","−2,828.00 USD",−0.28%,"3,233.00 USD",0.32%,51,11.76%,0.416,0,,0
"80, 7, 105","−2,672.00 USD",−0.27%,"4,357.50 USD",0.44%,51,21.57%,0.568,0,,0
"80, 7, 115","−2,969.00 USD",−0.30%,"4,459.50 USD",0.45%,51,19.61%,0.539,0,,0
"80, 7, 125","−3,393.50 USD",−0.34%,"4,936.50 USD",0.49%,35,20.00%,0.392,0,,0
"80, 7, 135","−3,758.50 USD",−0.38%,"5,022.50 USD",0.50%,35,20.00%,0.365,0,,0
"80, 7, 145","−4,534.50 USD",−0.45%,"5,438.00 USD",0.54%,37,16.22%,0.32,0,,0
"80, 7, 25","+3,645.00 USD",+0.36%,"1,173.00 USD",0.12%,15,60.00%,11.848,0,,0
"80, 7, 35","+1,453.50 USD",+0.15%,"2,632.50 USD",0.26%,22,45.45%,1.567,0,,0
"80, 7, 45","+1,380.50 USD",+0.14%,"2,632.50 USD",0.26%,28,39.29%,1.473,0,,0
"80, 7, 55","−5,445.50 USD",−0.54%,"8,232.00 USD",0.82%,32,28.13%,0.375,0,,0
"80, 7, 65","−5,005.50 USD",−0.50%,"8,429.50 USD",0.84%,41,31.71%,0.463,0,,0
"80, 7, 75","−6,028.00 USD",−0.60%,"8,641.00 USD",0.86%,42,26.19%,0.375,0,,0
"80, 7, 85","−6,516.00 USD",−0.65%,"8,866.50 USD",0.89%,44,25.00%,0.351,0,,0
"80, 7, 95","−2,035.50 USD",−0.20%,"4,203.50 USD",0.42%,49,22.45%,0.633,0,,0
"80, 7.5, 105",+125.00 USD,+0.01%,"2,066.50 USD",0.21%,42,26.19%,1.029,0,,0
"80, 7.5, 115",−382.00 USD,−0.04%,"2,213.00 USD",0.22%,43,23.26%,0.918,0,,0
"80, 7.5, 125",−883.00 USD,−0.09%,"1,424.00 USD",0.14%,32,25.00%,0.675,0,,0
"80, 7.5, 135","−1,199.00 USD",−0.12%,"1,740.00 USD",0.17%,33,24.24%,0.605,0,,0
"80, 7.5, 145","−1,579.50 USD",−0.16%,"2,120.50 USD",0.21%,34,23.53%,0.537,0,,0
"80, 7.5, 25",+815.50 USD,+0.08%,865.00 USD,0.09%,13,23.08%,2.448,0,,0
"80, 7.5, 35","+3,452.00 USD",+0.35%,"1,761.50 USD",0.18%,21,42.86%,5.37,0,,0
"80, 7.5, 45","+3,089.00 USD",+0.31%,"2,027.00 USD",0.20%,26,42.31%,3.716,0,,0
"80, 7.5, 55","+5,079.50 USD",+0.51%,"2,027.00 USD",0.20%,27,44.44%,5.392,0,,0
"80, 7.5, 65","+4,270.50 USD",+0.43%,"2,027.00 USD",0.20%,31,41.94%,2.825,0,,0
"80, 7.5, 75","+3,997.50 USD",+0.40%,"2,027.00 USD",0.20%,33,39.39%,2.53,0,,0
"80, 7.5, 85","+3,380.00 USD",+0.34%,"2,027.00 USD",0.20%,36,36.11%,2.046,0,,0
"80, 7.5, 95","+1,143.00 USD",+0.11%,"2,027.00 USD",0.20%,40,30.00%,1.306,0,,0
"80, 8, 105","+1,160.00 USD",+0.12%,"3,757.50 USD",0.37%,36,36.11%,1.249,0,,0
"80, 8, 115","+1,948.50 USD",+0.19%,"3,757.50 USD",0.37%,37,32.43%,1.485,0,,0
"80, 8, 125","−1,673.50 USD",−0.17%,"3,757.50 USD",0.38%,30,20.00%,0.63,0,,0
"80, 8, 135","−1,873.00 USD",−0.19%,"3,849.00 USD",0.38%,30,20.00%,0.603,0,,0
"80, 8, 145","−3,754.00 USD",−0.38%,"5,208.00 USD",0.52%,32,18.75%,0.277,0,,0
"80, 8, 25","−2,644.00 USD",−0.26%,"4,346.50 USD",0.43%,12,25.00%,2.48,0,,0
"80, 8, 35",−997.00 USD,−0.10%,"3,717.50 USD",0.37%,15,33.33%,0.623,0,,0
"80, 8, 45",−811.00 USD,−0.08%,"3,722.00 USD",0.37%,21,33.33%,0.728,0,,0
"80, 8, 55","−1,779.00 USD",−0.18%,"3,740.00 USD",0.37%,24,33.33%,0.548,0,,0
"80, 8, 65","+4,047.00 USD",+0.40%,"3,714.50 USD",0.37%,28,39.29%,1.994,0,,0
"80, 8, 75","+6,013.00 USD",+0.60%,"3,388.50 USD",0.34%,29,41.38%,2.467,0,,0
"80, 8, 85","+8,243.50 USD",+0.82%,"3,757.50 USD",0.37%,34,44.12%,2.938,0,,0
"80, 8, 95","+1,572.00 USD",+0.16%,"3,757.50 USD",0.37%,34,41.18%,1.366,0,,0
"80, 8.5, 105",−634.50 USD,−0.06%,"1,887.50 USD",0.19%,33,21.21%,0.772,0,,0
"80, 8.5, 115",−892.00 USD,−0.09%,"1,989.00 USD",0.20%,34,23.53%,0.708,0,,0
"80, 8.5, 125","−2,142.50 USD",−0.21%,"2,245.50 USD",0.22%,29,20.69%,0.239,0,,0
"80, 8.5, 135","−2,177.50 USD",−0.22%,"2,280.50 USD",0.23%,29,20.69%,0.236,0,,0
"80, 8.5, 145","−2,331.00 USD",−0.23%,"2,434.00 USD",0.24%,29,13.79%,0.205,0,,0
"80, 8.5, 25",−465.50 USD,−0.05%,494.00 USD,0.05%,12,25.00%,0.144,0,,0
"80, 8.5, 35","−1,742.50 USD",−0.17%,"2,095.50 USD",0.21%,17,17.65%,0.12,0,,0
"80, 8.5, 45","−2,309.50 USD",−0.23%,"2,452.00 USD",0.25%,20,15.00%,0.089,0,,0
"80, 8.5, 55","−3,929.00 USD",−0.39%,"5,277.00 USD",0.53%,24,20.83%,0.21,0,,0
"80, 8.5, 65","−1,800.00 USD",−0.18%,"2,286.50 USD",0.23%,25,20.00%,0.367,0,,0
"80, 8.5, 75",−218.00 USD,−0.02%,"1,505.00 USD",0.15%,31,22.58%,0.902,0,,0
"80, 8.5, 85",−96.50 USD,−0.01%,"1,383.50 USD",0.14%,32,21.88%,0.958,0,,0
"80, 8.5, 95",−439.00 USD,−0.04%,"1,710.50 USD",0.17%,33,21.21%,0.831,0,,0
"80, 9, 105",+742.00 USD,+0.07%,834.50 USD,0.08%,32,15.63%,1.282,0,,0
"80, 9, 115",+986.50 USD,+0.10%,851.50 USD,0.09%,32,18.75%,1.393,0,,0
"80, 9, 125",+803.50 USD,+0.08%,880.00 USD,0.09%,27,18.52%,1.373,0,,0
"80, 9, 135",+598.00 USD,+0.06%,"1,011.50 USD",0.10%,28,17.86%,1.254,0,,0
"80, 9, 145",+396.00 USD,+0.04%,"1,038.00 USD",0.10%,29,17.24%,1.155,0,,0
"80, 9, 25","−1,297.50 USD",−0.13%,"4,224.50 USD",0.42%,7,57.14%,0.643,0,,0
"80, 9, 35","+1,958.50 USD",+0.20%,"3,495.00 USD",0.35%,13,53.85%,1.833,0,,0
"80, 9, 45",+236.00 USD,+0.02%,"3,675.00 USD",0.37%,17,35.29%,1.084,0,,0
"80, 9, 55",+359.50 USD,+0.04%,"3,799.00 USD",0.38%,21,28.57%,1.118,0,,0
"80, 9, 65","+2,204.50 USD",+0.22%,578.00 USD,0.06%,23,21.74%,2.888,0,,0
"80, 9, 75",−37.00 USD,0.00%,"1,570.50 USD",0.16%,27,18.52%,0.986,0,,0
"80, 9, 85",+586.00 USD,+0.06%,785.00 USD,0.08%,29,17.24%,1.29,0,,0
"80, 9, 95","+1,199.00 USD",+0.12%,750.50 USD,0.07%,30,20.00%,1.543,0,,0
"80, 9.5, 105","+5,058.50 USD",+0.51%,"1,191.00 USD",0.12%,26,38.46%,3.275,0,,0
"80, 9.5, 115","+3,217.50 USD",+0.32%,876.50 USD,0.09%,27,33.33%,2.288,0,,0
"80, 9.5, 125",−961.50 USD,−0.10%,"6,731.00 USD",0.67%,21,42.86%,0.855,0,,0
"80, 9.5, 135","−1,060.50 USD",−0.11%,"6,731.00 USD",0.67%,21,42.86%,0.842,0,,0
"80, 9.5, 145","−1,146.00 USD",−0.11%,"6,731.00 USD",0.67%,21,42.86%,0.831,0,,0
"80, 9.5, 25","+1,833.00 USD",+0.18%,"1,023.50 USD",0.10%,8,37.50%,4.385,0,,0
"80, 9.5, 35",−538.00 USD,−0.05%,"2,829.50 USD",0.28%,10,30.00%,0.721,0,,0
"80, 9.5, 45",+672.00 USD,+0.07%,"2,829.50 USD",0.28%,15,40.00%,1.318,0,,0
"80, 9.5, 55","+1,455.50 USD",+0.15%,"1,121.00 USD",0.11%,18,38.89%,2.162,0,,0
"80, 9.5, 65","+2,794.00 USD",+0.28%,"1,193.00 USD",0.12%,19,42.11%,3.07,0,,0
"80, 9.5, 75","+2,561.50 USD",+0.26%,"1,222.50 USD",0.12%,21,33.33%,2.657,0,,0
"80, 9.5, 85","+3,071.50 USD",+0.31%,"1,105.50 USD",0.11%,22,40.91%,2.896,0,,0
"80, 9.5, 95","+4,116.50 USD",+0.41%,"1,105.50 USD",0.11%,23,43.48%,3.506,0,,0
"85, 10, 105","+1,066.00 USD",+0.11%,"1,248.00 USD",0.12%,22,31.82%,1.468,0,,0
"85, 10, 115","+1,060.00 USD",+0.11%,"1,228.50 USD",0.12%,23,34.78%,1.46,0,,0
"85, 10, 125",−634.50 USD,−0.06%,"1,893.50 USD",0.19%,18,27.78%,0.763,0,,0
"85, 10, 135",−213.00 USD,−0.02%,"1,356.00 USD",0.14%,18,27.78%,0.917,0,,0
"85, 10, 145",−282.00 USD,−0.03%,"1,423.50 USD",0.14%,18,27.78%,0.892,0,,0
"85, 10, 25","+2,103.00 USD",+0.21%,847.50 USD,0.08%,6,16.67%,8.022,0,,0
"85, 10, 35",+798.00 USD,+0.08%,"1,294.00 USD",0.13%,9,11.11%,0.018,0,,0
"85, 10, 45","+1,785.00 USD",+0.18%,"1,696.50 USD",0.17%,14,21.43%,0.658,0,,0
"85, 10, 55","+2,113.00 USD",+0.21%,"1,638.00 USD",0.16%,15,26.67%,0.708,0,,0
"85, 10, 65",+241.00 USD,+0.02%,"1,674.50 USD",0.17%,17,29.41%,1.135,0,,0
"85, 10, 75",−36.50 USD,0.00%,"1,419.00 USD",0.14%,19,31.58%,0.98,0,,0
"85, 10, 85",−127.50 USD,−0.01%,"1,510.00 USD",0.15%,19,31.58%,0.934,0,,0
"85, 10, 95",−820.50 USD,−0.08%,"1,383.00 USD",0.14%,21,28.57%,0.63,0,,0
"85, 10.5, 105","−3,295.00 USD",−0.33%,"7,250.00 USD",0.73%,13,7.69%,0.004,0,,0
"85, 10.5, 115","−3,848.50 USD",−0.38%,"7,811.50 USD",0.78%,15,6.67%,0.004,0,,0
"85, 10.5, 125","+1,787.50 USD",+0.18%,"2,014.50 USD",0.20%,11,9.09%,0.014,0,,0
"85, 10.5, 135",−445.50 USD,−0.04%,"1,230.00 USD",0.12%,13,15.38%,0.75,0,,0
"85, 10.5, 145",−573.00 USD,−0.06%,"1,230.00 USD",0.12%,13,15.38%,0.7,0,,0
"85, 10.5, 25","−5,376.50 USD",−0.54%,"6,455.50 USD",0.65%,7,28.57%,0.016,0,,0
"85, 10.5, 35","−5,615.00 USD",−0.56%,"6,580.50 USD",0.66%,9,22.22%,0.015,0,,0
"85, 10.5, 45","−5,667.00 USD",−0.57%,"6,592.50 USD",0.66%,9,22.22%,0.01,0,,0
"85, 10.5, 55","−5,950.50 USD",−0.60%,"6,810.00 USD",0.68%,10,10.00%,0.004,0,,0
"85, 10.5, 65","−6,224.50 USD",−0.62%,"6,810.00 USD",0.68%,12,8.33%,0.004,0,,0
"85, 10.5, 75","−3,766.00 USD",−0.38%,"6,858.50 USD",0.69%,12,8.33%,0.004,0,,0
"85, 10.5, 85","−3,766.50 USD",−0.38%,"6,884.50 USD",0.69%,12,8.33%,0.004,0,,0
"85, 10.5, 95","−3,725.50 USD",−0.37%,"7,202.50 USD",0.72%,13,7.69%,0.004,0,,0
"85, 11, 105",−885.50 USD,−0.09%,924.50 USD,0.09%,12,16.67%,0.212,0,,0
"85, 11, 115","−6,142.50 USD",−0.61%,"6,644.00 USD",0.66%,12,16.67%,0.037,0,,0
"85, 11, 125",−554.50 USD,−0.06%,"1,030.50 USD",0.10%,13,30.77%,0.495,0,,0
"85, 11, 135",−619.00 USD,−0.06%,"1,095.00 USD",0.11%,13,30.77%,0.468,0,,0
"85, 11, 145",−651.00 USD,−0.07%,"1,127.00 USD",0.11%,13,30.77%,0.455,0,,0
"85, 11, 25",−207.50 USD,−0.02%,219.00 USD,0.02%,3,0.00%,0,0,,0
"85, 11, 35",−270.00 USD,−0.03%,281.50 USD,0.03%,4,0.00%,0,0,,0
"85, 11, 45",−364.50 USD,−0.04%,376.00 USD,0.04%,5,0.00%,0,0,,0
"85, 11, 55",−364.50 USD,−0.04%,376.00 USD,0.04%,5,0.00%,0,0,,0
"85, 11, 65",−491.00 USD,−0.05%,530.00 USD,0.05%,7,14.29%,0.055,0,,0
"85, 11, 75",−595.50 USD,−0.06%,634.50 USD,0.06%,8,12.50%,0.046,0,,0
"85, 11, 85",−577.00 USD,−0.06%,631.50 USD,0.06%,10,20.00%,0.292,0,,0
"85, 11, 95",−796.50 USD,−0.08%,835.50 USD,0.08%,12,16.67%,0.23,0,,0
"85, 11.5, 105","−1,371.50 USD",−0.14%,"1,410.50 USD",0.14%,17,29.41%,0.193,0,,0
"85, 11.5, 115","−1,540.50 USD",−0.15%,"1,579.50 USD",0.16%,17,29.41%,0.176,0,,0
"85, 11.5, 125","−1,391.00 USD",−0.14%,"1,396.00 USD",0.14%,12,25.00%,0.165,0,,0
"85, 11.5, 135","−1,391.00 USD",−0.14%,"1,396.00 USD",0.14%,12,25.00%,0.165,0,,0
"85, 11.5, 145","−1,556.50 USD",−0.16%,"1,561.50 USD",0.16%,13,30.77%,0.163,0,,0
"85, 11.5, 25",−995.00 USD,−0.10%,"1,081.50 USD",0.11%,5,20.00%,0.129,0,,0
"85, 11.5, 35","−1,317.00 USD",−0.13%,"1,403.50 USD",0.14%,9,22.22%,0.108,0,,0
"85, 11.5, 45","−1,025.50 USD",−0.10%,"1,124.00 USD",0.11%,12,33.33%,0.158,0,,0
"85, 11.5, 55",−947.00 USD,−0.09%,964.00 USD,0.10%,15,40.00%,0.286,0,,0
"85, 11.5, 65","−1,560.00 USD",−0.16%,"1,599.00 USD",0.16%,15,33.33%,0.2,0,,0
"85, 11.5, 75","−1,745.00 USD",−0.17%,"1,784.00 USD",0.18%,16,31.25%,0.182,0,,0
"85, 11.5, 85","−1,805.00 USD",−0.18%,"1,844.00 USD",0.18%,16,31.25%,0.154,0,,0
"85, 11.5, 95","−1,355.00 USD",−0.14%,"1,394.00 USD",0.14%,17,29.41%,0.195,0,,0
"85, 12, 105",+867.50 USD,+0.09%,972.50 USD,0.10%,15,26.67%,1.53,0,,0
"85, 12, 115",+867.00 USD,+0.09%,973.00 USD,0.10%,16,31.25%,1.523,0,,0
"85, 12, 125",−879.50 USD,−0.09%,971.50 USD,0.10%,14,28.57%,0.462,0,,0
"85, 12, 135",−999.00 USD,−0.10%,"1,066.50 USD",0.11%,14,28.57%,0.401,0,,0
"85, 12, 145",−999.00 USD,−0.10%,"1,066.50 USD",0.11%,14,28.57%,0.401,0,,0
"85, 12, 25","+1,838.50 USD",+0.18%,"1,317.50 USD",0.13%,4,50.00%,8.154,0,,0
"85, 12, 35","+3,876.00 USD",+0.39%,"1,150.50 USD",0.11%,5,40.00%,14.458,0,,0
"85, 12, 45",+372.50 USD,+0.04%,"1,388.00 USD",0.14%,7,14.29%,1.856,0,,0
"85, 12, 55","+3,500.50 USD",+0.35%,862.00 USD,0.09%,8,37.50%,9.15,0,,0
"85, 12, 65","+3,342.50 USD",+0.33%,"1,020.00 USD",0.10%,9,33.33%,6.689,0,,0
"85, 12, 75","+3,076.50 USD",+0.31%,"1,020.00 USD",0.10%,10,30.00%,4.605,0,,0
"85, 12, 85","+2,985.00 USD",+0.30%,"1,089.00 USD",0.11%,11,36.36%,4.142,0,,0
"85, 12, 95","+1,142.50 USD",+0.11%,826.00 USD,0.08%,12,25.00%,1.874,0,,0
"85, 12.5, 105",+635.00 USD,+0.06%,"2,484.00 USD",0.25%,9,33.33%,4.007,0,,0
"85, 12.5, 115",+379.50 USD,+0.04%,"2,653.50 USD",0.26%,10,30.00%,3.368,0,,0
"85, 12.5, 125","−2,245.50 USD",−0.22%,"2,706.50 USD",0.27%,10,20.00%,0.451,0,,0
"85, 12.5, 135","−1,654.00 USD",−0.17%,"2,691.00 USD",0.27%,11,27.27%,0.861,0,,0
"85, 12.5, 145","−2,316.50 USD",−0.23%,"2,878.00 USD",0.29%,12,25.00%,0.736,0,,0
